1,Liga1A,Spain,27
2,Liga1B,Spain,28
3,Liga1C,Spain,19
4,Liga1D,Spain,16
5,Liga1F,Spain,21
6,Liga1G,Spain,26
7,Liga1H,Spain,38
8,Liga1I,Spain,28
9,Liga1J,Spain,29
10,Liga2K,England,30
11,Liga2A,England,25
12,Liga2B,England,19
13,Liga2C,England,37
14,Liga2D,England,38
15,Liga2E,England,20
16,Liga2F,England,28
17,Liga2G,England,25
18,Liga2H,England,40
19,Liga2I,England,32
20,Liga2J,England,36
21,Liga3A,France,35
22,Liga3B,France,36
23,Liga3C,France,24
24,Liga3D,France,24
25,Liga3E,France,18
26,Liga3F,France,16
27,Liga3G,France,26
28,Liga3H,France,39
29,Liga3I,France,26
30,Liga3J,France,37
31,Liga4A,Italy,40
32,Liga4B,Italy,31
33,Liga4C,Italy,17
34,Liga4D,Italy,25
35,Liga4E,Italy,29
36,Liga4F,Italy,23
37,Liga4G,Italy,27
38,Liga4H,Italy,17
39,Liga4I,Italy,30
40,Liga4J,Italy,34
41,Liga5A,Germany,39
42,Liga5B,Germany,26
43,Liga5C,Germany,19
44,Liga5D,Germany,39
45,Liga5E,Germany,36
46,Liga5F,Germany,23
47,Liga5G,Germany,20
48,Liga5H,Germany,27
49,Liga5I,Germany,37
50,Liga5J,Germany,36
51,Liga6A,Netherlands,32
52,Liga6B,Netherlands,17
53,Liga6C,Netherlands,16
54,Liga6D,Netherlands,32
55,Liga6E,Netherlands,39
56,Liga6F,Netherlands,33
57,Liga6G,Netherlands,17
58,Liga6H,Netherlands,34
59,Liga6I,Netherlands,21
60,Liga6J,Netherlands,22
61,Liga7A,Argentina,39
62,Liga7B,Argentina,37
63,Liga7C,Argentina,36
64,Liga7D,Argentina,16
65,Liga7E,Argentina,29
66,Liga7F,Argentina,30
67,Liga7G,Argentina,26
68,Liga7H,Argentina,20
69,Liga7I,Argentina,22
70,Liga7J,Argentina,31
71,Liga8A,Brazil,23
72,Liga8B,Brazil,26
73,Liga8C,Brazil,24
74,Liga8D,Brazil,17
75,Liga8E,Brazil,26
76,Liga8F,Brazil,30
77,Liga8G,Brazil,16
78,Liga8H,Brazil,35
79,Liga8I,Brazil,20
80,Liga8J,Brazil,39
81,Liga9A,UnitedStates,18
82,Liga9B,UnitedStates,31
83,Liga9C,UnitedStates,28
84,Liga9D,UnitedStates,37
85,Liga9E,UnitedStates,36
86,Liga9F,UnitedStates,15
87,Liga9G,UnitedStates,40
88,Liga9H,UnitedStates,21
89,Liga9I,UnitedStates,32
90,Liga9J,UnitedStates,32
91,Liga10A,Portugal,19
92,Liga10B,Portugal,39
93,Liga10C,Portugal,23
94,Liga10D,Portugal,24
95,Liga10E,Portugal,37
96,Liga10F,Portugal,38
97,Liga10G,Portugal,24
98,Liga10H,Portugal,31
99,Liga10I,Portugal,19
100,Liga10J,Portugal,31
