53 3896 10 194
58 9527 2  75
5  973  2  195
57 5851 7  97
11 2304 2  28
60 9867 12 36
95 7746 2  165
89 956  14 98
79 2875 11 100
18 8590 5  73
3  3604 11 75
32 6683 5  95
63 7662 11 56
5  2808 8  47
93 1642 2  167
74 2734 4  126
11 915  3  137
10 9601 10 98
61 1921 13 10
4  6882 15 25
2  133  9  123
29 391  7  156
92 2555 15 114
36 8722 11 148
34 1129 12 175
1  328  6  21
20 1706 15 112
69 8560 3  18
93 171  12 95
27 6646 13 131
49 6494 3  145
5  4531 14 62
32 8124 8  5
27 7326 6  82
41 3747 6  194
78 6154 12 44
13 443  9  27
33 1415 12 10
2  2958 4  174
80 4122 10 118
82 9364 2  121
30 3392 7  167
57 978  12 22
11 2957 15 138
88 4782 11 145
89 2905 15 136
48 4410 15 200
41 2528 10 23
9  5962 15 158
27 670  5  54
91 1085 3  34
45 4399 9  10
28 1108 7  172
49 4879 9  29
45 1329 7  156
45 6271 15 74
86 7631 6  155
70 9618 10 7
71 5376 15 140
63 7656 11 185
6  4451 13 138
65 9095 14 152
57 9589 15 183
20 8210 3  28
97 5010 6  34
65 7554 6  42
82 2368 13 36
14 8103 10 193
42 3890 2  103
89 220  2  191
24 5082 3  70
18 9492 9  121
31 92   15 85
66 1404 8  160
82 5098 8  74
96 9736 13 138
85 3640 11 103
61 36   14 104
79 468  5  108
66 5722 6  89
23 2750 7  131
52 8592 8  113
27 524  5  140
59 2568 9  165
89 8216 7  22
67 6856 12 6
96 5000 6  12
22 5281 6  136
95 4907 11 41
18 6940 14 22
63 7860 13 76
91 6191 11 138
63 2096 13 138
18 2925 11 97
36 1384 6  74
88 2760 10 126
20 9544 5  158
91 5661 5  173
1  1642 11 105
47 6188 3  84
